game_name,genre,platform,rating
The Witcher 3,"RPG, Ação","PC, PS4, Xbox One",9.7
Minecraft,"Sandbox, Aventura","PC, PS4, Xbox One",9.2
God of War,"Ação, Aventura",PS4,9.8
Dark Souls III,"RPG, Ação","PC, PS4, Xbox One",9.5
Red Dead Redemption 2,"Ação, Aventura","PC, PS4, Xbox One",9.9
Overwatch,FPS,"PC, PS4, Xbox One",8.7
Celeste,Plataforma,"PC, PS4, Xbox One, Switch",9.6
Hollow Knight,Metroidvania,"PC, PS4, Switch",9.3
Stardew Valley,"Simulação, RPG","PC, PS4, Xbox One, Switch",9.5
Cyberpunk 2077,"RPG, Ação","PC, PS4, Xbox One",7.8
Fortnite,Battle Royale,"PC, PS4, Xbox One",8.3
League of Legends,MOBA,PC,8.8
Valorant,FPS,PC,8.9
Among Us,Party Game,"PC, Mobile",8.0
Apex Legends,Battle Royale,"PC, PS4, Xbox One",8.5
The Legend of Zelda: Breath of the Wild,"Aventura, RPG",Switch,9.9
Super Mario Odyssey,Plataforma,Switch,9.6
DOOM Eternal,FPS,"PC, PS4, Xbox One",9.0
Final Fantasy XV,RPG,"PC, PS4, Xbox One",8.2
Persona 5,RPG,PS4,9.7
